Year,Period,Branch,Branch (Name),Parts Counter,Parts Shop,Parts Other,Parts All
2019,6,113,Raleigh,2084,1236,503,3823
2019,6,114,Charlotte,2278,977,2561,5816
2019,6,117,Greenville,428,258,237,923
2019,6,160,Asheville,1268,490,364,2122
2019,6,215,Columbia,2193,494,1149,3836
2019,6,216,Piedmont,1203,391,1116,2710
2019,6,218,Charleston,1329,935,748,3012
2019,6,364,Macon,468,237,191,896
2019,6,365,Savannah,1190,1337,1667,4194
2019,6,367,Buford,1907,1928,1112,4947
2019,6,520,Knoxville,574,401,208,1183
2019,6,536,Chattanooga,784,404,290,1478
2019,7,113,Raleigh,2376,3018,1056,6450
2019,7,114,Charlotte,2464,787,2033,5284
2019,7,117,Greenville,549,219,245,1013
2019,7,160,Asheville,1561,771,519,2851
2019,7,215,Columbia,1809,1601,1625,5035
2019,7,216,Piedmont,895,499,912,2306
2019,7,218,Charleston,1377,424,1744,3545
2019,7,364,Macon,473,182,222,877
2019,7,365,Savannah,1520,1419,1623,4562
2019,7,367,Buford,2849,1326,1059,5234
2019,7,520,Knoxville,1376,316,170,1862
2019,7,536,Chattanooga,589,259,46,894
2019,8,113,Raleigh,2376,1514,1308,5198
2019,8,114,Charlotte,2951,1370,2562,6883
2019,8,117,Greenville,646,77,357,1080
2019,8,160,Asheville,1386,502,1727,3615
2019,8,215,Columbia,1442,609,931,2982
2019,8,216,Piedmont,1085,551,766,2402
2019,8,218,Charleston,1724,211,650,2585
2019,8,364,Macon,576,70,133,779
2019,8,365,Savannah,2409,423,1626,4458
2019,8,367,Buford,3204,1090,1110,5404
2019,8,520,Knoxville,1080,417,174,1671
2019,8,536,Chattanooga,608,235,216,1059
2019,9,113,Raleigh,1537,1245,1037,3819
2019,9,114,Charlotte,2761,1461,2199,6421
2019,9,117,Greenville,496,312,169,977
2019,9,160,Asheville,1434,746,846,3026
2019,9,215,Columbia,1918,1246,590,3754
2019,9,216,Piedmont,1068,622,900,2590
2019,9,218,Charleston,1238,639,661,2538
2019,9,364,Macon,287,73,159,519
2019,9,365,Savannah,1656,273,2063,3992
2019,9,367,Buford,2162,1992,1122,5276
2019,9,520,Knoxville,747,135,157,1039
2019,9,536,Chattanooga,586,446,48,1080
2019,10,113,Raleigh,2164,1614,912,4690
2019,10,114,Charlotte,3355,2072,1968,7395
2019,10,117,Greenville,530,251,307,1088
2019,10,160,Asheville,1697,1407,643,3747
2019,10,215,Columbia,1219,1593,1521,4333
2019,10,216,Piedmont,979,461,493,1933
2019,10,218,Charleston,1121,764,1031,2916
2019,10,364,Macon,493,253,328,1074
2019,10,365,Savannah,1553,1845,1047,4445
2019,10,367,Buford,3198,2051,1180,6429
2019,10,520,Knoxville,884,460,186,1530
2019,10,536,Chattanooga,553,269,129,951
2019,11,113,Raleigh,1480,1707,1147,4334
